evidence_id,event_date,title,description,url,source_tier,grounding_status,relevant,requires_human_review,review_note,category,subcategory,taxonomy_fit,polarity,affected_barrier,confidence,rationale,supporting_text
ev_09eac7a02b31,March 2026,ICNL Civic Freedom Monitor - Nepal (Recent Developments),ICNL overview notes that in March 2026 Nepal formed a new government after elections held in the wake of a youth-led protest movement triggered by social media restrictions that collapsed the prior government in September 2025.,https://www.icnl.org/resources/civic-freedom-monitor/nepal,registry,supported,True,True,General political transition without a stated connection to NGO regulatory measures; included only as background context.,reputational_and_political,other,outside_current_subcategories,contextual,none_identified,0.4,Describes broad political transition and civic unrest context relevant to Nepal's civic space monitoring but with no direct link to an NGO-specific restriction or protection.,"In March 2026, Nepal formed a new government after elections, which saw the governing coalition secure a nearly two-thirds majority."
ev_2c7dc5372f64,as of August 2026 (ongoing legal requirement),ICNL Civic Freedom Monitor - Nepal (Barriers to Resources),"ICNL reports that associations must obtain case-by-case approval from the Social Welfare Council to receive government or foreign funding, and banks will not release transferred donor funds without an SWC authorization letter.",https://www.icnl.org/resources/civic-freedom-monitor/nepal,registry,supported,True,False,,resources,foreign_funding_approval,exact,restrictive,diversified_funding_and_transparent_reporting,0.92,"Mandatory case-by-case government approval is required before associations can access foreign or government funding, and banks withhold funds absent this authorization.",Associations must obtain case-by-case approval from the Social Welfare Council (SWC) to receive government or foreign funding.
ev_c7f56452e399,March 2026 / April 2025,ICNL Civic Freedom Monitor - Nepal (NGO registration numbers),"As of March 2026 the Social Welfare Council's database listed 57,978 active NGOs, while a separate study estimated 25,760 NGOs were active at the end of fiscal year 2024-25; 119 international CSOs were listed as of April 2025.",https://www.icnl.org/resources/civic-freedom-monitor/nepal,registry,supported,True,True,Statistical data only; no direct bearing on formation barriers without further context.,formation,other,outside_current_subcategories,contextual,none_identified,0.5,Reports on the number of active NGOs and discrepancies in counting methods; useful background but does not itself establish a restriction or protection.,"the Social Welfare Council's database listed 57,978 NGOs as active."
ev_67845be57010,August 2025,ICNL Civic Freedom Monitor - Nepal (draft NGO Registration Bill),"In August 2025 Nepal's Ministry of Home Affairs issued a draft NGO Registration, Regulation and Management Bill that would consolidate the Associations Registration Act (1977), National Directorate Act (1961), and Social Welfare Act (1992).",https://www.icnl.org/resources/civic-freedom-monitor/nepal,registry,supported,True,True,Bill is still in draft stage and its precise regulatory impact on registration/formation is not detailed in the snippet.,governance,unilateral_rule_making,partial,restrictive,appeal_and_judicial_review,0.6,"A ministry-issued draft bill consolidating multiple existing NGO governing laws indicates a unilateral regulatory overhaul that could increase future exposure, though effects are not yet finalized.","Nepal's Ministry of Home Affairs issued a draft NGO Registration, Regulation and Management Bill, which seeks to consolidate three existing laws governing NGOs"
ev_2f5b433a03ec,2026 (post-election context),ICNL Civic Freedom Monitor - Nepal (Karki Commission recommendations),"ICNL states that Karki Commission recommendations, including expanded digital monitoring and a specialized social media intelligence unit, could facilitate surveillance of organizers and constrain assembly mobilization.",https://www.icnl.org/resources/civic-freedom-monitor/nepal,registry,supported,True,True,"These are recommendations, not yet enacted measures; effect on NGOs is anticipatory.",governance,restricted_freedoms,partial,restrictive,appeal_and_judicial_review,0.65,Recommended digital monitoring and surveillance capacity could constrain the exercise of assembly and civic organizing freedoms.,could facilitate surveillance of organizers and further constrain the coordination and mobilization of peaceful assemblies.
ev_37c556546e9b,"Constitution of Nepal, 2015 (ongoing)",ICNL Civic Freedom Monitor - Nepal (assembly right restricted to citizens),"ICNL notes that Nepal's constitutional right to peaceful assembly is restricted to Nepali citizens, contrary to international law standards on freedom of assembly.",https://www.icnl.org/resources/civic-freedom-monitor/nepal,registry,supported,True,False,,governance,restricted_freedoms,exact,restrictive,appeal_and_judicial_review,0.85,"The constitutional right to peaceful assembly is expressly limited to citizens, restricting broader civic participation rights relevant to NGO operations.","This right is restricted to Nepali citizens, in contravention of international law standards on freedom of assembly."
ev_89adf7e75fd7,2024 (baseline) / current,CIVICUS Monitor - Nepal country rating,"CIVICUS Monitor rates Nepal's civic space as 'Obstructed' with a current score of 48/100, and shows the country rated 'obstructed' continuously from 2018 through 2024.",https://monitor.civicus.org/country/nepal/,registry,supported,True,True,Aggregate rating without specificity on which measures drive the score.,reputational_and_political,other,outside_current_subcategories,contextual,none_identified,0.45,A civic space rating of 'Obstructed' provides general context on the operating environment but does not itself describe a specific restrictive or permissive measure.,48 | Obstructed | obstructed | obstructed | obstructed
ev_afdc932d5590,November 2024,CIVICUS Monitor - Nepal: Civic space at risk (Nov 2024 baseline report),"CIVICUS documented that peaceful protests in Nepal have been met with arbitrary arrests and excessive force including firearms, with unlawful killings reported and no accountability, alongside government limits on protest space.",https://www.civicus.org/index.php/media-resources/reports-publications/7359-nepal-civic-space-at-risk-as-authorities-suppress-fundamental-freedoms-and-dissent,supplementary,supported,True,False,,governance,restricted_freedoms,exact,restrictive,appeal_and_judicial_review,0.85,"Documented suppression of peaceful protests through arbitrary arrests, excessive force, and unlawful killings without accountability directly restricts the freedom of assembly relevant to civic space.","peaceful protests have been met with arbitrary arrests and excessive force, including the use of firearms. In some cases, unlawful killings have been reported, with no one held to account."
ev_f013a78c381e,14 August 2024,CIVICUS Monitor - Nepal transitional justice law adopted (Aug 2024),"Nepal's transitional justice law was adopted by the lower house of parliament on 14 August 2024, incorporating provisions to advance justice for 1996-2006 conflict-era abuses, though human rights groups raised concerns about shortcomings.",https://monitor.civicus.org/explore/nepal-activists-and-online-critics-arrested-to-stifle-dissent-as-journalists-remain-at-risk/,registry,supported,False,False,,,,,,,,,
ev_61e22293a5ea,22 August 2024,OHCHR - Türk welcomes adoption of Nepal transitional justice law,"UN Human Rights Chief Volker Türk stated that the adoption of new transitional justice legislation in Nepal marks an important step toward accountability and reconciliation, while calling for victim-centred implementation.",https://www.ohchr.org/en/press-releases/2024/08/nepal-turk-welcomes-adoption-transitional-justice-law-calls-victim-centred,supplementary,supported,False,False,,,,,,,,,
ev_f1ea4c89c68d,August-October 2024,CIVICUS Monitor - Electronic Transaction Act used against online critics (2024),"CIVICUS documented ongoing persecution of individuals for online criticism of politicians under the Electronic Transaction Act 2008, including arrests of individuals posting Facebook criticism of the Prime Minister and other leaders in August 2024.",https://monitor.civicus.org/explore/nepal-activists-and-online-critics-arrested-to-stifle-dissent-as-journalists-remain-at-risk/,registry,supported,True,True,Focus is on individual online critics rather than NGOs specifically; fit to governance subcategory is partial.,governance,restricted_freedoms,partial,restrictive,appeal_and_judicial_review,0.62,Use of the Electronic Transactions Act to arrest and charge individuals for online criticism demonstrates a restriction on freedom of expression that could extend to civil society actors.,the use of the Electronic Transactions Act 2008 to stifle dissent
